5/7/2021 9:09:06 AM,Domain Networks

Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde
Utility Network Name,meh.unadmin.ElectricUN
Utility Network Release,3
ArcGIS Pro Version,2.7.0.0

DomainNetworkID,DomainName,TierRank,Tier,TierGroup,TopologyType,SupportDisjointSubnetworks,UpdateSubnetworkContainers,UpdateSubnetworkStructures
1,Structure,,,,,,,
2,Electric,,,,,,,
,,1,Electric Generation Station,,Mesh,True,,
,,2,Electric Transmission,,Mesh,True,,
,,3,Electric Sub Transmission,,Mesh,True,,
,,4,Electric Distribution Substation,,Radial,True,,
,,5,Electric Distribution,,Radial,False,,
,,5,Electric Distribution Mesh,,Mesh,True,,
,,6,Electric Secondary Mesh,,Mesh,True,,
,,6,Electric Secondary Radial,,Radial,False,,
,,,,,,,,
,,,,,,,,
TierRank,TierName,Property,Descriptor,Value
,Electric Distribution Substation,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Device Asset Group' = 1
,Electric Distribution Substation,,Apply Traversibiilty To,JunctionsAndEdges
,Electric Distribution Substation,,Propagators,
,Electric Distribution Substation,,Summaries,
,Electric Distribution Substation,,,Add('E:Power') 'Device Asset Group' IncludesTheValues 11 totalkva
,Electric Distribution Substation,,,Add('Power Rating') 'Device Asset Group' = 30 totalgenerationkw
,Electric Distribution Substation,,,
,Electric Distribution Substation,Valid Subnetwork Controllers - 10,Asset Group,Asset Type
,Electric Distribution Substation,,High Voltage Transformer,AC Three Phase Power
,Electric Distribution Substation,,High Voltage Transformer,DC Power
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Single Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Two Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Switch,Station Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Network
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Step Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Step Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Distribution Substation,,,
,Electric Distribution Substation,Valid Devices - 120,Asset Group,Asset Type
,Electric Distribution Substation,,Medium Voltage Arrester,MV Elbow Arrester
,Electric Distribution Substation,,Medium Voltage Arrester,MV Line Arrester
,Electric Distribution Substation,,Medium Voltage Arrester,MV Station Arrester
,Electric Distribution Substation,,Ground,Bound
,Electric Distribution Substation,,Ground,Rod
,Electric Distribution Substation,,Ground,Voltage Grid
,Electric Distribution Substation,,Medium Voltage Control Unit,MV Capacitor
,Electric Distribution Substation,,Medium Voltage Control Unit,MV Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Control Unit,MV Recloser
,Electric Distribution Substation,,Medium Voltage Control Unit,MV Transfer Switch Controller
,Electric Distribution Substation,,Medium Voltage Control Unit,MV Regulator
,Electric Distribution Substation,,High Voltage Transformer,AC Three Phase Power
,Electric Distribution Substation,,High Voltage Transformer,DC Power
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Isolator Switch
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Single Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Circuit Breaker,Two Phase Circuit Breaker
,Electric Distribution Substation,,Medium Voltage Elbow,Load Break Feedthru
,Electric Distribution Substation,,Medium Voltage Elbow,Load Break Junction
,Electric Distribution Substation,,Medium Voltage Elbow,Single Phase Dead Break
,Electric Distribution Substation,,Medium Voltage Elbow,Single Phase Load Break
,Electric Distribution Substation,,Medium Voltage Elbow,Three Phase Dead Break
,Electric Distribution Substation,,Medium Voltage Elbow,Three Phase Load Break
,Electric Distribution Substation,,Medium Voltage Fuse,Bayonet
,Electric Distribution Substation,,Medium Voltage Fuse,Fault Limiter
,Electric Distribution Substation,,Medium Voltage Fuse,Indoor Fuse
,Electric Distribution Substation,,Medium Voltage Fuse,Overhead Cutout Fused Disconnect
,Electric Distribution Substation,,Medium Voltage Fuse,Overhead Cutout Fused Load Break
,Electric Distribution Substation,,Medium Voltage Fuse,Overhead Cutout Solid Blade
,Electric Distribution Substation,,Medium Voltage Fuse,Cabinet Fuse
,Electric Distribution Substation,,Medium Voltage Fuse,Underground Fuse
,Electric Distribution Substation,,Medium Voltage Fuse,Underground Fuse Disconnect
,Electric Distribution Substation,,Medium Voltage Fuse,Underground Fuse Load Break
,Electric Distribution Substation,,Medium Voltage Generation,Battery
,Electric Distribution Substation,,Medium Voltage Generation,Biomass
,Electric Distribution Substation,,Medium Voltage Generation,Gas Turbine
,Electric Distribution Substation,,Medium Voltage Generation,Geothermal
,Electric Distribution Substation,,Medium Voltage Generation,Hydro
,Electric Distribution Substation,,Medium Voltage Generation,Photovoltaic Solar
,Electric Distribution Substation,,Medium Voltage Generation,Thermal Solar
,Electric Distribution Substation,,Medium Voltage Generation,Wind
,Electric Distribution Substation,,Medium Voltage Generation,Generator
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,MV Fault Indicator
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,MV Instrument Transformer
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,Programmable Logic Unit
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,Remote Terminal Unit
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,SCADA Load Monitor
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,SCADA Weather Station
,Electric Distribution Substation,,Medium Voltage Line Monitor and Relay,MV Relay
,Electric Distribution Substation,,Medium Voltage Motor and Pump,Single Phase Motor
,Electric Distribution Substation,,Medium Voltage Motor and Pump,Single Phase Pump
,Electric Distribution Substation,,Medium Voltage Motor and Pump,Three Phase Motor
,Electric Distribution Substation,,Medium Voltage Motor and Pump,Three Phase Pump
,Electric Distribution Substation,,Medium Voltage Power Conversion,Single Phase Inverter
,Electric Distribution Substation,,Medium Voltage Power Conversion,Single Phase Rectifier
,Electric Distribution Substation,,Medium Voltage Power Conversion,Three Phase Inverter
,Electric Distribution Substation,,Medium Voltage Power Conversion,Three Phase Rectifier
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Mobile Harmonic Filter
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Mobile Reactor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Pad Mounted Harmonic Filter
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Pad Mounted Reactor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Station Capacitor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Station Harmonic Filter
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Station Reactor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Mobile Capacitor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Overhead Single Phase Capacitor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Overhead Three Phase Capacitor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Overhead Harmonic Filter
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Overhead Reactor
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Single Phase
,Electric Distribution Substation,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Three Phase
,Electric Distribution Substation,,Medium Voltage Regulator,Overhead Single Phase VR
,Electric Distribution Substation,,Medium Voltage Regulator,Overhead Three Phase VR
,Electric Distribution Substation,,Medium Voltage Regulator,Pad Mounted Single Phase VR
,Electric Distribution Substation,,Medium Voltage Regulator,Pad Mounted Three Phase VR
,Electric Distribution Substation,,Medium Voltage Service,Primary Meter - Industrial Customer
,Electric Distribution Substation,,Medium Voltage Service,Primary Meter - Utility Customer
,Electric Distribution Substation,,Medium Voltage Switch,Cabinet Bypass
,Electric Distribution Substation,,Medium Voltage Switch,Cabinet Switch
,Electric Distribution Substation,,Medium Voltage Switch,Cabinet Switch - Grounded
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Bypass
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Grounding Switch
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Jumper
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Single Phase Disconnect
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Single Phase Load Break
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Single Phase Recloser
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Three Phase Disconnect
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Three Phase Load Break
,Electric Distribution Substation,,Medium Voltage Switch,Overhead Three Phase Recloser
,Electric Distribution Substation,,Medium Voltage Switch,Pad Mounted Fault Interrupter
,Electric Distribution Substation,,Medium Voltage Switch,Pad Mounted Single Phase Recloser
,Electric Distribution Substation,,Medium Voltage Switch,Pad Mounted Three Phase Recloser
,Electric Distribution Substation,,Medium Voltage Switch,Station Single Phase
,Electric Distribution Substation,,Medium Voltage Switch,Station Three Phase
,Electric Distribution Substation,,Medium Voltage Switch,T Blade
,Electric Distribution Substation,,Medium Voltage Switch,V Blade
,Electric Distribution Substation,,Medium Voltage Switch,Underground Single Phase Disconnect
,Electric Distribution Substation,,Medium Voltage Switch,Underground Single Phase Load Break
,Electric Distribution Substation,,Medium Voltage Switch,Underground Three Phase Disconnect
,Electric Distribution Substation,,Medium Voltage Switch,Underground Three Phase Load Break
,Electric Distribution Substation,,Medium Voltage Switch,Underground Transfer Switch
,Electric Distribution Substation,,Medium Voltage Switch,Bus Tie Breaker
,Electric Distribution Substation,,Medium Voltage Transformer,Grounding Transformer
,Electric Distribution Substation,,Medium Voltage Transformer,Mobile Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Mobile Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Network
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Step Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Step Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Step Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Step Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Subsurface Single Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Three Phase Open Delta
,Electric Distribution Substation,,Medium Voltage Transformer,Overhead Three Phase Open Wye
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Three Phase Open Delta
,Electric Distribution Substation,,Medium Voltage Transformer,Pad Mounted Three Phase Open Wye
,Electric Distribution Substation,,,
,Electric Distribution Substation,Valid Lines - 9,Asset Group,Asset Type
,Electric Distribution Substation,,Medium Voltage Busbar,Station Single Phase
,Electric Distribution Substation,,Medium Voltage Busbar,Station Three Phase
,Electric Distribution Substation,,Medium Voltage Conductor,Underground Three Phase
,Electric Distribution Substation,,Medium Voltage Connector,Single Phase
,Electric Distribution Substation,,Medium Voltage Connector,Three Phase
,Electric Distribution Substation,,Medium Voltage Connector,Two Phase
,Electric Distribution Substation,,Neutral,Overhead Bare
,Electric Distribution Substation,,Neutral,Overhead Shielded
,Electric Distribution Substation,,Neutral,Underground Shielded
,Electric Distribution Substation,,,
,Electric Distribution Substation,Aggregrated Lines for SubnetLine Feature - 3,Asset Group,Asset Type
,Electric Distribution Substation,,Medium Voltage Busbar,Station Single Phase
,Electric Distribution Substation,,Medium Voltage Busbar,Station Three Phase
,Electric Distribution Substation,,Medium Voltage Conductor,Underground Three Phase
,Electric Distribution Substation,,,
,Electric Distribution Substation,Valid Junctions - 0,Asset Group,Asset Type
,Electric Distribution Substation,,,
,Electric Distribution Substation,Subnetwork Diagram Templates - 0,,
,Electric Distribution Substation,,,
5,Electric Distribution,,,
,Electric Distribution,Trace Configuration,Property,Value
,Electric Distribution,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Category' = E:Ground
,Electric Distribution,,Apply Traversibiilty To,JunctionsAndEdges
,Electric Distribution,,Propagators,
,Electric Distribution,,Summaries,
,Electric Distribution,,,Add('E:Power') 'Category' = E:Distribution Transformer totalkva
,Electric Distribution,,,Add('E:Power') 'Category' = E:Reactive Power totalkvar
,Electric Distribution,,,Add('Power Rating') 'Category' = E:Generation totalgenerationkw
,Electric Distribution,,,Add('Shape length') 'Category' = E:Medium to Low Voltage Cable circuitlength
,Electric Distribution,,,Count('Device Asset Group') 'Category' = E:Customer Load totalservicepoint
,Electric Distribution,,,Count('Device Asset Group') 'Category' = E:Distribution Transformer totaltransformercount
,Electric Distribution,,,Count('Device Asset Group') 'Category' = E:Switching totalswitchcount
,Electric Distribution,,,
,Electric Distribution,Valid Subnetwork Controllers - 8,Asset Group,Asset Type
,Electric Distribution,,Low Voltage Network Protection,Network Protector
,Electric Distribution,,Medium Voltage Circuit Breaker,Single Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Circuit Breaker,Two Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Transformer,Network
,Electric Distribution,,Medium Voltage Transformer,Overhead Step Three Phase
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Step Three Phase
,Electric Distribution,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Distribution,,,
,Electric Distribution,Valid Devices - 179,Asset Group,Asset Type
,Electric Distribution,,Low Voltage Line Monitor and Relay,LV Fault Indicator
,Electric Distribution,,Low Voltage Line Monitor and Relay,LV Load Monitor
,Electric Distribution,,Low Voltage Line Monitor and Relay,LV Relay
,Electric Distribution,,Ground,Bound
,Electric Distribution,,Ground,Rod
,Electric Distribution,,Ground,Voltage Grid
,Electric Distribution,,Ground,Stray Voltage Isolator
,Electric Distribution,,Low Voltage Arrester,LV Overhead Arrester
,Electric Distribution,,Low Voltage Arrester,LV Underground Arrester
,Electric Distribution,,Low Voltage Arrester,LV Station Arrester
,Electric Distribution,,Low Voltage Arrester,LV Indoor Arrester
,Electric Distribution,,Low Voltage Control Unit,Control Unit
,Electric Distribution,,Low Voltage Fuse,AC Overhead
,Electric Distribution,,Low Voltage Fuse,AC Underground
,Electric Distribution,,Low Voltage Fuse,DC Overhead
,Electric Distribution,,Low Voltage Fuse,DC Underground
,Electric Distribution,,Low Voltage Generation,Battery
,Electric Distribution,,Low Voltage Generation,Car Charger
,Electric Distribution,,Low Voltage Generation,Generator
,Electric Distribution,,Low Voltage Generation,Residential Photovoltaic Solar
,Electric Distribution,,Low Voltage Generation,Wind Turbine
,Electric Distribution,,Low Voltage Lighting,Flood light
,Electric Distribution,,Low Voltage Lighting,Streetlight
,Electric Distribution,,Low Voltage Motor,LV Single Phase Motor
,Electric Distribution,,Low Voltage Motor,LV Three Phase Motor
,Electric Distribution,,Low Voltage Network Protection,Network Protector
,Electric Distribution,,Low Voltage Power Conversion,LV Single Phase Inverter
,Electric Distribution,,Low Voltage Power Conversion,LV Single Phase Rectifier
,Electric Distribution,,Low Voltage Power Conversion,LV Three Phase Inverter
,Electric Distribution,,Low Voltage Power Conversion,LV Three Phase Rectifier
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Mobile Harmonic Filter
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Mobile Reactor
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Overhead Capacitor
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Overhead Harmonic Filter
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Overhead Reactor
,Electric Distribution,,Low Voltage Power Factor Correcting,Pad Mounted Capacitor
,Electric Distribution,,Low Voltage Power Factor Correcting,Pad Mounted Harmonic Filter
,Electric Distribution,,Low Voltage Power Factor Correcting,Pad Mounted Reactor
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Station Capacitor
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Station Harmonic Filter
,Electric Distribution,,Low Voltage Power Factor Correcting,LV Station Reactor
,Electric Distribution,,Low Voltage Service,Single Phase Commercial
,Electric Distribution,,Low Voltage Service,Single Phase Residential
,Electric Distribution,,Low Voltage Service,Three Phase Commercial
,Electric Distribution,,Low Voltage Service,Three Phase Residential
,Electric Distribution,,Low Voltage Service,Unmetered Load
,Electric Distribution,,Low Voltage Switch,Overhead AC Load Break
,Electric Distribution,,Low Voltage Switch,Overhead AC Disconnect
,Electric Distribution,,Low Voltage Switch,Overhead DC Load Break
,Electric Distribution,,Low Voltage Switch,Overhead DC Disconnect
,Electric Distribution,,Low Voltage Switch,Underground AC Load Break
,Electric Distribution,,Low Voltage Switch,Underground AC Disconnect
,Electric Distribution,,Low Voltage Switch,Underground DC Load Break
,Electric Distribution,,Low Voltage Switch,Underground DC Disconnect
,Electric Distribution,,Low Voltage Switch,Indoor AC Load Break
,Electric Distribution,,Low Voltage Switch,Indoor AC Disconnect
,Electric Distribution,,Low Voltage Switch,Indoor DC Load Break
,Electric Distribution,,Low Voltage Switch,Indoor DC Disconnect
,Electric Distribution,,Low Voltage Switch,Source Selectable Switch
,Electric Distribution,,Low Voltage Switch,LV Overhead Jumper
,Electric Distribution,,Low Voltage Transformer,Single Phase
,Electric Distribution,,Low Voltage Transformer,Three Phase
,Electric Distribution,,Medium Voltage Arrester,MV Elbow Arrester
,Electric Distribution,,Medium Voltage Arrester,MV Line Arrester
,Electric Distribution,,Medium Voltage Circuit Breaker,Isolator Switch
,Electric Distribution,,Medium Voltage Circuit Breaker,Single Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Circuit Breaker,Two Phase Circuit Breaker
,Electric Distribution,,Medium Voltage Control Unit,MV Capacitor
,Electric Distribution,,Medium Voltage Control Unit,MV Circuit Breaker
,Electric Distribution,,Medium Voltage Control Unit,MV Recloser
,Electric Distribution,,Medium Voltage Control Unit,MV Transfer Switch Controller
,Electric Distribution,,Medium Voltage Control Unit,MV Regulator
,Electric Distribution,,Medium Voltage Elbow,Load Break Feedthru
,Electric Distribution,,Medium Voltage Elbow,Load Break Junction
,Electric Distribution,,Medium Voltage Elbow,Single Phase Dead Break
,Electric Distribution,,Medium Voltage Elbow,Single Phase Load Break
,Electric Distribution,,Medium Voltage Elbow,Three Phase Dead Break
,Electric Distribution,,Medium Voltage Elbow,Three Phase Load Break
,Electric Distribution,,Medium Voltage Elbow,Two Phase Load Break
,Electric Distribution,,Medium Voltage Fuse,Bayonet
,Electric Distribution,,Medium Voltage Fuse,Fault Limiter
,Electric Distribution,,Medium Voltage Fuse,Indoor Fuse
,Electric Distribution,,Medium Voltage Fuse,Overhead Cutout Fused Disconnect
,Electric Distribution,,Medium Voltage Fuse,Overhead Cutout Fused Load Break
,Electric Distribution,,Medium Voltage Fuse,Overhead Cutout Sectionalizer
,Electric Distribution,,Medium Voltage Fuse,Overhead Cutout Solid Blade
,Electric Distribution,,Medium Voltage Fuse,Cabinet Fuse
,Electric Distribution,,Medium Voltage Fuse,Underground Fuse
,Electric Distribution,,Medium Voltage Fuse,Underground Fuse Disconnect
,Electric Distribution,,Medium Voltage Fuse,Underground Fuse Load Break
,Electric Distribution,,Medium Voltage Generation,Battery
,Electric Distribution,,Medium Voltage Generation,Biomass
,Electric Distribution,,Medium Voltage Generation,Gas Turbine
,Electric Distribution,,Medium Voltage Generation,Geothermal
,Electric Distribution,,Medium Voltage Generation,Hydro
,Electric Distribution,,Medium Voltage Generation,Photovoltaic Solar
,Electric Distribution,,Medium Voltage Generation,Thermal Solar
,Electric Distribution,,Medium Voltage Generation,Wind
,Electric Distribution,,Medium Voltage Generation,Generator
,Electric Distribution,,Medium Voltage Line Monitor and Relay,MV Fault Indicator
,Electric Distribution,,Medium Voltage Line Monitor and Relay,MV Instrument Transformer
,Electric Distribution,,Medium Voltage Line Monitor and Relay,Programmable Logic Unit
,Electric Distribution,,Medium Voltage Line Monitor and Relay,Remote Terminal Unit
,Electric Distribution,,Medium Voltage Line Monitor and Relay,SCADA Load Monitor
,Electric Distribution,,Medium Voltage Line Monitor and Relay,SCADA Weather Station
,Electric Distribution,,Medium Voltage Motor and Pump,Single Phase Motor
,Electric Distribution,,Medium Voltage Motor and Pump,Single Phase Pump
,Electric Distribution,,Medium Voltage Motor and Pump,Three Phase Motor
,Electric Distribution,,Medium Voltage Motor and Pump,Three Phase Pump
,Electric Distribution,,Medium Voltage Power Conversion,Wave Trap
,Electric Distribution,,Medium Voltage Power Conversion,Single Phase Inverter
,Electric Distribution,,Medium Voltage Power Conversion,Single Phase Rectifier
,Electric Distribution,,Medium Voltage Power Conversion,Three Phase Inverter
,Electric Distribution,,Medium Voltage Power Conversion,Three Phase Rectifier
,Electric Distribution,,Medium Voltage Power Factor Correcting,Mobile Harmonic Filter
,Electric Distribution,,Medium Voltage Power Factor Correcting,Mobile Reactor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Pad Mounted Harmonic Filter
,Electric Distribution,,Medium Voltage Power Factor Correcting,Pad Mounted Reactor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Mobile Capacitor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Overhead Single Phase Capacitor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Overhead Three Phase Capacitor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Overhead Harmonic Filter
,Electric Distribution,,Medium Voltage Power Factor Correcting,Overhead Reactor
,Electric Distribution,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Single Phase
,Electric Distribution,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Three Phase
,Electric Distribution,,Medium Voltage Regulator,Overhead Single Phase VR
,Electric Distribution,,Medium Voltage Regulator,Overhead Three Phase VR
,Electric Distribution,,Medium Voltage Regulator,Pad Mounted Single Phase VR
,Electric Distribution,,Medium Voltage Regulator,Pad Mounted Three Phase VR
,Electric Distribution,,Medium Voltage Service,Primary Meter - Industrial Customer
,Electric Distribution,,Medium Voltage Service,Primary Meter - Utility Customer
,Electric Distribution,,Medium Voltage Service,Primary Meter Circuit Source
,Electric Distribution,,Medium Voltage Switch,Cabinet Bypass
,Electric Distribution,,Medium Voltage Switch,Cabinet Switch
,Electric Distribution,,Medium Voltage Switch,Cabinet Switch - Grounded
,Electric Distribution,,Medium Voltage Switch,Overhead Bypass
,Electric Distribution,,Medium Voltage Switch,Overhead Grounding Switch
,Electric Distribution,,Medium Voltage Switch,Overhead Jumper
,Electric Distribution,,Medium Voltage Switch,Overhead Single Phase Disconnect
,Electric Distribution,,Medium Voltage Switch,Overhead Single Phase Load Break
,Electric Distribution,,Medium Voltage Switch,Overhead Single Phase Recloser
,Electric Distribution,,Medium Voltage Switch,Overhead Single Phase Sectionalizer
,Electric Distribution,,Medium Voltage Switch,Overhead Three Phase Disconnect
,Electric Distribution,,Medium Voltage Switch,Overhead Three Phase Load Break
,Electric Distribution,,Medium Voltage Switch,Overhead Three Phase Recloser
,Electric Distribution,,Medium Voltage Switch,Overhead Three Phase Sectionalizer
,Electric Distribution,,Medium Voltage Switch,Pad Mounted Fault Interrupter
,Electric Distribution,,Medium Voltage Switch,Pad Mounted Single Phase Recloser
,Electric Distribution,,Medium Voltage Switch,Pad Mounted Three Phase Recloser
,Electric Distribution,,Medium Voltage Switch,Pad Mounted Single Phase Sectionalizer
,Electric Distribution,,Medium Voltage Switch,Pad Mounted Three Phase Sectionalizer
,Electric Distribution,,Medium Voltage Switch,Station Single Phase
,Electric Distribution,,Medium Voltage Switch,Station Three Phase
,Electric Distribution,,Medium Voltage Switch,T Blade
,Electric Distribution,,Medium Voltage Switch,V Blade
,Electric Distribution,,Medium Voltage Switch,Underground Single Phase Disconnect
,Electric Distribution,,Medium Voltage Switch,Underground Single Phase Load Break
,Electric Distribution,,Medium Voltage Switch,Underground Three Phase Disconnect
,Electric Distribution,,Medium Voltage Switch,Underground Three Phase Load Break
,Electric Distribution,,Medium Voltage Switch,Underground Transfer Switch
,Electric Distribution,,Medium Voltage Switch,Two Phase Switch
,Electric Distribution,,Medium Voltage Transformer,Grounding Transformer
,Electric Distribution,,Medium Voltage Transformer,Network
,Electric Distribution,,Medium Voltage Transformer,Overhead Single Phase
,Electric Distribution,,Medium Voltage Transformer,Overhead Step Single Phase
,Electric Distribution,,Medium Voltage Transformer,Overhead Step Three Phase
,Electric Distribution,,Medium Voltage Transformer,Overhead Three Phase
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Single Phase
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Step Single Phase
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Step Three Phase
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Three Phase
,Electric Distribution,,Medium Voltage Transformer,Subsurface Single Phase
,Electric Distribution,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Distribution,,Medium Voltage Transformer,Overhead Three Phase Open Delta
,Electric Distribution,,Medium Voltage Transformer,Overhead Three Phase Open Wye
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Three Phase Open Delta
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Three Phase Open Wye
,Electric Distribution,,Medium Voltage Transformer,Pad Mounted Step Two Phase
,Electric Distribution,,,
,Electric Distribution,Valid Lines - 22,Asset Group,Asset Type
,Electric Distribution,,Low Voltage Busbar,Cabinet
,Electric Distribution,,Low Voltage Busbar,Station
,Electric Distribution,,Low Voltage Conductor,Overhead
,Electric Distribution,,Low Voltage Conductor,Submersible
,Electric Distribution,,Low Voltage Conductor,Underground
,Electric Distribution,,Low Voltage Connector,Connector
,Electric Distribution,,Medium Voltage Busbar,Cabinet Single Phase
,Electric Distribution,,Medium Voltage Busbar,Cabinet Three Phase
,Electric Distribution,,Medium Voltage Conductor,Overhead Single Phase
,Electric Distribution,,Medium Voltage Conductor,Overhead Three Phase
,Electric Distribution,,Medium Voltage Conductor,Overhead Two Phase
,Electric Distribution,,Medium Voltage Conductor,Submersible Single Phase
,Electric Distribution,,Medium Voltage Conductor,Submersible Three Phase
,Electric Distribution,,Medium Voltage Conductor,Underground Single Phase
,Electric Distribution,,Medium Voltage Conductor,Underground Three Phase
,Electric Distribution,,Medium Voltage Conductor,Underground Two Phase
,Electric Distribution,,Medium Voltage Connector,Single Phase
,Electric Distribution,,Medium Voltage Connector,Three Phase
,Electric Distribution,,Medium Voltage Connector,Two Phase
,Electric Distribution,,Neutral,Overhead Bare
,Electric Distribution,,Neutral,Overhead Shielded
,Electric Distribution,,Neutral,Underground Shielded
,Electric Distribution,,,
,Electric Distribution,Aggregrated Lines for SubnetLine Feature - 3,Asset Group,Asset Type
,Electric Distribution,,Medium Voltage Conductor,Overhead Three Phase
,Electric Distribution,,Medium Voltage Conductor,Submersible Three Phase
,Electric Distribution,,Medium Voltage Conductor,Underground Three Phase
,Electric Distribution,,,
,Electric Distribution,Valid Junctions - 0,Asset Group,Asset Type
,Electric Distribution,,,
,Electric Distribution,Subnetwork Diagram Templates - 0,,
,Electric Distribution,,,
5,Electric Distribution Mesh,,,
,Electric Distribution Mesh,Trace Configuration,Property,Value
,Electric Distribution Mesh,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Category' = E:Ground
